Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-S1","WeatherAlertDataStack/WeatherAlertDataBucket/Resource","Suppressed","S3 access logging not required for AWS Sample project. Customers can enable in production deployments.","Error","The S3 Bucket has server access logs disabled."
"AwsSolutions-S2","WeatherAlertDataStack/WeatherAlertDataBucket/Resource","Compliant","N/A","Error","The S3 Bucket does not have public access restricted and blocked."
"AwsSolutions-S5","WeatherAlertDataStack/WeatherAlertDataBucket/Resource","Compliant","N/A","Error","The S3 static website bucket either has an open world bucket policy or does not use a CloudFront Origin Access Identity (OAI) in the bucket policy for limited getObject and/or putObject permissions."
"AwsSolutions-S10","WeatherAlertDataStack/WeatherAlertDataBucket/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-S10","WeatherAlertDataStack/WeatherAlertDataBucket/Policy/Resource","Compliant","N/A","Error","The S3 Bucket or bucket policy does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/LocationFetchDLQ/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/LocationFetchDLQ/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/LocationFetchDLQ/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/LocationFetchQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/LocationFetchQueue/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/LocationFetchQueue/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/WeatherResultDLQ/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/WeatherResultDLQ/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/WeatherResultDLQ/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/WeatherResultQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/WeatherResultQueue/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/WeatherResultQueue/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/AdviceRequestDLQ/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/AdviceRequestDLQ/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/AdviceRequestDLQ/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/AdviceRequestQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/AdviceRequestQueue/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/AdviceRequestQueue/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/NotifyDLQ/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/NotifyDLQ/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/NotifyDLQ/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
"AwsSolutions-SQS2","WeatherAlertDataStack/NotifyQueue/Resource","Compliant","N/A","Error","The SQS Queue does not have server-side encryption enabled."
"AwsSolutions-SQS3","WeatherAlertDataStack/NotifyQueue/Resource","Compliant","N/A","Error","The SQS queue is not used as a dead-letter queue (DLQ) and does not have a DLQ enabled."
"AwsSolutions-SQS4","WeatherAlertDataStack/NotifyQueue/Resource","Compliant","N/A","Error","The SQS queue does not require requests to use SSL."
